control_no,map_name,comp,result,final_score,game_mode,game_length,team,elimination,assist,death,damage,heal,mitigation
5,midtown,no,defeat,2-0,hybrid,10:22,B,19,11,5,7124,3853,7911
5,midtown,no,defeat,2-0,hybrid,10:22,B,14,6,10,8384,1288,3536
5,midtown,no,defeat,2-0,hybrid,10:22,B,6,13,6,3633,4806,1928
6,antarctic_peninsula,no,defeat,0-2,control,8:11,A,7,1,5,4629,869,1131
6,antarctic_peninsula,no,defeat,0-2,control,8:11,A,6,3,7,5499,325,2358
6,antarctic_peninsula,no,defeat,0-2,control,8:11,A,6,4,3,3120,1897,0
6,antarctic_peninsula,no,defeat,0-2,control,8:11,A,6,5,4,3159,4115,292
6,antarctic_peninsula,no,defeat,0-2,control,8:11,A,5,2,4,2641,4940,782
6,antarctic_peninsula,no,defeat,0-2,control,8:11,B,15,6,4,4537,981,3119
6,antarctic_peninsula,no,defeat,0-2,control,8:11,B,19,11,0,5050,3964,2155
6,antarctic_peninsula,no,defeat,0-2,control,8:11,B,17,6,1,5573,2860,3809
6,antarctic_peninsula,no,defeat,0-2,control,8:11,B,13,11,3,4813,2329,1106
6,antarctic_peninsula,no,defeat,0-2,control,8:11,B,8,13,2,1887,3404,0
7,havana,no,victory,3-2,escort,17:26,A,39,14,7,11638,7677,3944
7,havana,no,victory,3-2,escort,17:26,A,29,10,7,10721,3461,1518
7,havana,no,victory,3-2,escort,17:26,A,18,3,10,9915,811,4615
7,havana,no,victory,3-2,escort,17:26,A,23,11,8,6805,6630,1715
7,havana,no,victory,3-2,escort,17:26,A,28,14,5,7669,6830,3017
7,havana,no,victory,3-2,escort,17:26,B,17,9,11,7825,8027,3426
7,havana,no,victory,3-2,escort,17:26,B,26,2,10,11034,1398,2389
7,havana,no,victory,3-2,escort,17:26,B,11,11,11,5738,4627,1351
7,havana,no,victory,3-2,escort,17:26,B,16,13,11,7474,9712,2961
7,havana,no,victory,3-2,escort,17:26,B,18,5,15,7866,2981,2611
8,colosseo,yes,victory,1-0,push,4:05,A,6,2,0,1016,0,3391
8,colosseo,yes,victory,1-0,push,4:05,A,11,3,0,3637,0,0
8,colosseo,yes,victory,1-0,push,4:05,A,7,0,0,2902,0,177
8,colosseo,yes,victory,1-0,push,4:05,A,5,6,1,526,2948,0
8,colosseo,yes,victory,1-0,push,4:05,A,4,6,0,925,3307,0
8,colosseo,yes,victory,1-0,push,4:05,B,0,0,4,1577,850,600
8,colosseo,yes,victory,1-0,push,4:05,B,1,0,3,2593,0,1906
8,colosseo,yes,victory,1-0,push,4:05,B,0,0,2,535,2638,0
8,colosseo,yes,victory,1-0,push,4:05,B,0,0,2,1131,334,0
8,colosseo,yes,victory,1-0,push,4:05,B,0,0,4,1716,48,1318
9,lijiang_tower,no,defeat,1-2,control,12:07,A,16,5,4,4413,3179,1561
9,lijiang_tower,no,defeat,1-2,control,12:07,A,12,11,6,5217,2763,2097
9,lijiang_tower,no,defeat,1-2,control,12:07,A,18,2,7,8465,2301,853
9,lijiang_tower,no,defeat,1-2,control,12:07,A,19,0,12,6383,1297,2616
9,lijiang_tower,no,defeat,1-2,control,12:07,A,11,4,10,3429,3226,3752
9,lijiang_tower,no,defeat,1-2,control,12:07,B,20,13,5,6177,4380,1956
9,lijiang_tower,no,defeat,1-2,control,12:07,B,26,6,5,5817,91,2656
9,lijiang_tower,no,defeat,1-2,control,12:07,B,19,12,11,7011,883,2740
9,lijiang_tower,no,defeat,1-2,control,12:07,B,13,12,6,3867,5714,1250
9,lijiang_tower,no,defeat,1-2,control,12:07,B,26,5,7,6409,1370,669
10,circuit_royal,no,victory,3-0,escort,5:16,A,21,2,1,4345,465,508
10,circuit_royal,no,victory,3-0,escort,5:16,A,16,2,1,4655,128,291
10,circuit_royal,no,victory,3-0,escort,5:16,A,21,2,1,4134,0,0
10,circuit_royal,no,victory,3-0,escort,5:16,A,5,16,1,619,3340,1449
10,circuit_royal,no,victory,3-0,escort,5:16,A,14,10,1,1648,3014,120
10,circuit_royal,no,victory,3-0,escort,5:16,B,2,1,5,1278,821,467
10,circuit_royal,no,victory,3-0,escort,5:16,B,2,0,7,1544,139,2760
10,circuit_royal,no,victory,3-0,escort,5:16,B,2,0,6,2019,1949,18
10,circuit_royal,no,victory,3-0,escort,5:16,B,2,0,6,2482,227,3714
10,circuit_royal,no,victory,3-0,escort,5:16,B,5,1,8,2157,1781,1665
11,junkertown,no,victory,3-0,escort,6:49,A,10,5,3,4853,929,1793
11,junkertown,no,victory,3-0,escort,6:49,A,18,1,6,5340,650,851
11,junkertown,no,victory,3-0,escort,6:49,A,13,0,3,4565,0,0
11,junkertown,no,victory,3-0,escort,6:49,A,22,8,1,4821,4802,27
11,junkertown,no,victory,3-0,escort,6:49,A,10,12,2,3133,3686,0
11,junkertown,no,victory,3-0,escort,6:49,B,2,10,4,1386,4015,295
11,junkertown,no,victory,3-0,escort,6:49,B,7,2,4,2863,3945,408
11,junkertown,no,victory,3-0,escort,6:49,B,7,0,5,5386,1694,0
11,junkertown,no,victory,3-0,escort,6:49,B,8,4,6,4337,2717,1594
11,junkertown,no,victory,3-0,escort,6:49,B,7,2,6,3784,2095,1950
12,new_queen_street,no,victory,1-0,push,10:17,A,25,4,3,6075,0,6164
12,new_queen_street,no,victory,1-0,push,10:17,A,15,3,9,5887,3876,1407
12,new_queen_street,no,victory,1-0,push,10:17,A,16,4,6,6132,501,2744
12,new_queen_street,no,victory,1-0,push,10:17,A,15,7,7,4308,2591,2028
12,new_queen_street,no,victory,1-0,push,10:17,A,20,12,5,6493,3760,0
12,new_queen_street,no,victory,1-0,push,10:17,B,12,3,7,4035,971,2570
12,new_queen_street,no,victory,1-0,push,10:17,B,11,8,9,4683,3484,3586
12,new_queen_street,no,victory,1-0,push,10:17,B,10,4,10,4182,1204,3969
12,new_queen_street,no,victory,1-0,push,10:17,B,10,2,6,5126,3582,2578
12,new_queen_street,no,victory,1-0,push,10:17,B,19,4,6,6006,3605,4099
13,colosseo,no,victory,1-0,push,10:17,A,20,1,2,4276,1567,1074
13,colosseo,no,victory,1-0,push,10:17,A,18,6,4,3555,6335,1340
13,colosseo,no,victory,1-0,push,10:17,A,25,6,2,7679,622,279
13,colosseo,no,victory,1-0,push,10:17,A,15,1,5,4583,989,88
13,colosseo,no,victory,1-0,push,10:17,A,15,5,4,3853,2087,565
13,colosseo,no,victory,1-0,push,10:17,B,9,0,10,4044,2246,1513
13,colosseo,no,victory,1-0,push,10:17,B,8,3,9,5918,2326,6063
13,colosseo,no,victory,1-0,push,10:17,B,3,7,11,3513,2737,2845
13,colosseo,no,victory,1-0,push,10:17,B,7,1,7,5667,294,1112
13,colosseo,no,victory,1-0,push,10:17,B,7,1,8,2390,1530,253
14,colosseo,no,defeat,0-1,push,10:00,A,15,6,8,4547,1594,1327
14,colosseo,no,defeat,0-1,push,10:00,A,13,0,6,9534,0,3298
14,colosseo,no,defeat,0-1,push,10:00,A,7,9,6,3602,5546,1465
14,colosseo,no,defeat,0-1,push,10:00,A,14,7,3,6296,3493,0
14,colosseo,no,defeat,0-1,push,10:00,A,12,5,6,4246,3974,1152
14,colosseo,no,defeat,0-1,push,10:00,B,15,4,4,4402,1678,5432
14,colosseo,no,defeat,0-1,push,10:00,B,11,6,7,4546,7006,4580
14,colosseo,no,defeat,0-1,push,10:00,B,17,10,4,6557,5656,860
14,colosseo,no,defeat,0-1,push,10:00,B,20,7,7,7954,1858,647
14,colosseo,no,defeat,0-1,push,10:00,B,6,6,6,3427,2654,2309
15,gibraltar,no,defeat,0-3,escort,10:19,A,15,7,10,6412,2375,2495
15,gibraltar,no,defeat,0-3,escort,10:19,A,19,0,5,6728,799,762
15,gibraltar,no,defeat,0-3,escort,10:19,A,11,4,6,2878,72,2736
15,gibraltar,no,defeat,0-3,escort,10:19,A,13,3,7,3808,3526,2932
15,gibraltar,no,defeat,0-3,escort,10:19,A,10,10,3,3253,7421,448
15,gibraltar,no,defeat,0-3,escort,10:19,B,18,1,1,6196,550,277
15,gibraltar,no,defeat,0-3,escort,10:19,B,13,11,6,4357,4312,4267
15,gibraltar,no,defeat,0-3,escort,10:19,B,17,3,7,7099,1595,472
15,gibraltar,no,defeat,0-3,escort,10:19,B,5,6,7,1138,1896,1082
15,gibraltar,no,defeat,0-3,escort,10:19,B,19,1,5,5981,1284,660
